,Molecule,OF Molecule Name,Geometry,Charge,Multiplicity,Basis Set,Number of Qubits,Method,Energy,Orbital Energies,Time
0,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.7414]]]",0,1,sto-3g,4.0,hf,-1.1166843870661929,"[-0.577974807063307, 0.6696986690536298]",0.034348000000000045
1,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.7414]]]",0,1,sto-3g,4.0,mp2,-1.1298488884194362,"[-0.577974807063307, 0.6696986690536298]",0.03290799999999994
2,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.7414]]]",0,1,sto-3g,4.0,cisd,-1.1372701746571041,"[-0.577974807063307, 0.6696986690536298]",0.032720000000000304
3,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.7414]]]",0,1,sto-3g,4.0,ccsd,-1.137270174684553,"[-0.577974807063307, 0.6696986690536298]",0.033319999999999794
4,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.7414]]]",0,1,sto-3g,4.0,fci,-1.1372701746571037,"[-0.577974807063307, 0.6696986690536298]",0.03311200000000003
5,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.0]]]",0,1,sto-3g,4.0,hf,-1.1166843870661929,"[-0.577974807063307, 0.6696986690536298]",0.03599599999999992
6,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.0]]]",0,1,sto-3g,4.0,mp2,-1.1298488884194362,"[-0.577974807063307, 0.6696986690536298]",0.0453140000000003
7,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.0]]]",0,1,sto-3g,4.0,cisd,-1.1372701746571041,"[-0.577974807063307, 0.6696986690536298]",0.03849999999999998
8,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.0]]]",0,1,sto-3g,4.0,ccsd,-1.137270174684553,"[-0.577974807063307, 0.6696986690536298]",0.03388800000000014
9,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.0]]]",0,1,sto-3g,4.0,fci,-1.1372701746571037,"[-0.577974807063307, 0.6696986690536298]",0.03311799999999998
10,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.01001001001001001]]]",0,1,sto-3g,4.0,hf,-1.1166843870661929,"[-0.577974807063307, 0.6696986690536298]",0.03432799999999947
11,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.01001001001001001]]]",0,1,sto-3g,4.0,mp2,-1.1298488884194362,"[-0.577974807063307, 0.6696986690536298]",0.034424000000000454
12,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.01001001001001001]]]",0,1,sto-3g,4.0,cisd,-1.1372701746571041,"[-0.577974807063307, 0.6696986690536298]",0.03283199999999997
13,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.01001001001001001]]]",0,1,sto-3g,4.0,ccsd,-1.137270174684553,"[-0.577974807063307, 0.6696986690536298]",0.0341560000000003
14,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.01001001001001001]]]",0,1,sto-3g,4.0,fci,-1.1372701746571037,"[-0.577974807063307, 0.6696986690536298]",0.03344199999999997
15,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.02002002002002002]]]",0,1,sto-3g,4.0,hf,-1.1166843870661929,"[-0.577974807063307, 0.6696986690536298]",0.03235199999999949
16,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.02002002002002002]]]",0,1,sto-3g,4.0,mp2,-1.1298488884194362,"[-0.577974807063307, 0.6696986690536298]",0.03570399999999996
17,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.02002002002002002]]]",0,1,sto-3g,4.0,cisd,-1.1372701746571041,"[-0.577974807063307, 0.6696986690536298]",0.03514199999999956
18,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.02002002002002002]]]",0,1,sto-3g,4.0,ccsd,-1.137270174684553,"[-0.577974807063307, 0.6696986690536298]",0.034233999999999654
19,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.02002002002002002]]]",0,1,sto-3g,4.0,fci,-1.1372701746571037,"[-0.577974807063307, 0.6696986690536298]",0.03383199999999942
20,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.03003003003003003]]]",0,1,sto-3g,4.0,hf,-1.1166843870661929,"[-0.577974807063307, 0.6696986690536298]",0.03297999999999934
21,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.03003003003003003]]]",0,1,sto-3g,4.0,mp2,-1.1298488884194362,"[-0.577974807063307, 0.6696986690536298]",0.03575600000000012
22,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.03003003003003003]]]",0,1,sto-3g,4.0,cisd,-1.1372701746571041,"[-0.577974807063307, 0.6696986690536298]",0.03446999999999978
23,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.03003003003003003]]]",0,1,sto-3g,4.0,ccsd,-1.137270174684553,"[-0.577974807063307, 0.6696986690536298]",0.03383800000000026
24,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.03003003003003003]]]",0,1,sto-3g,4.0,fci,-1.1372701746571037,"[-0.577974807063307, 0.6696986690536298]",0.033966000000000385
25,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.04004004004004004]]]",0,1,sto-3g,4.0,hf,-1.1166843870661929,"[-0.577974807063307, 0.6696986690536298]",0.035962000000000494
26,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.04004004004004004]]]",0,1,sto-3g,4.0,mp2,-1.1298488884194362,"[-0.577974807063307, 0.6696986690536298]",0.036768000000000356
27,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.04004004004004004]]]",0,1,sto-3g,4.0,cisd,-1.1372701746571041,"[-0.577974807063307, 0.6696986690536298]",0.033514000000000266
28,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.04004004004004004]]]",0,1,sto-3g,4.0,ccsd,-1.137270174684553,"[-0.577974807063307, 0.6696986690536298]",0.033336000000000254
29,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.04004004004004004]]]",0,1,sto-3g,4.0,fci,-1.1372701746571037,"[-0.577974807063307, 0.6696986690536298]",0.037069999999999936
30,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.050050050050050046]]]",0,1,sto-3g,4.0,hf,-1.1166843870661929,"[-0.577974807063307, 0.6696986690536298]",0.035351999999999606
31,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.050050050050050046]]]",0,1,sto-3g,4.0,mp2,-1.1298488884194362,"[-0.577974807063307, 0.6696986690536298]",0.032401999999999376
32,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.050050050050050046]]]",0,1,sto-3g,4.0,cisd,-1.1372701746571041,"[-0.577974807063307, 0.6696986690536298]",0.03788400000000003
33,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.050050050050050046]]]",0,1,sto-3g,4.0,ccsd,-1.137270174684553,"[-0.577974807063307, 0.6696986690536298]",0.033009999999999984
34,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.050050050050050046]]]",0,1,sto-3g,4.0,fci,-1.1372701746571037,"[-0.577974807063307, 0.6696986690536298]",0.03316600000000047
35,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.06006006006006006]]]",0,1,sto-3g,4.0,hf,-1.1166843870661929,"[-0.577974807063307, 0.6696986690536298]",0.031775999999999804
36,H2,H2_sto-3g_singlet,"[['H', [0.0, 0.0, 0.0]], ['H', [0.0, 0.0, 0.06006006006006006]]]",0,1,sto-3g,4.0,mp2,-1.1298488884194362,"[-0.577974807063307, 0.6696986690536298]",0.031824000000000296
